MIBiG accession	compound name	SMILES	PMID / DOI	Column1	Column2	Column3
BGC0000241	Lomaiviticin A	CCC1(C(C(=O)C2=C3C(=C(C4=C(C=CC(=O)C4=C3O)O)[O-])C(=C2C1OC5CC(C(C(O5)C)N(C)C)O)[N+]#N)C6C(C(C7=C(C8=C(C9=C(C=CC(=O)C9=C(C8=C7C6=O)O)O)[O-])[N+]#N)(CC)OC1CC(C(C(O1)C)N(C)C)O)OC1CC(C(C(O1)C)O)OC)OC1CC(C(C(O1)C)O)OC	23649992, 24848236, 25045187, 24383813, 22963534, 11457405, 			
BGC0000241	Lomaiviticin C	O=C1C2=C(C([H])=C3C2=C(O)C4=C(O)C=CC(O)=C4C3=O)[C@@H](O[C@H]5O[C@@H](C)[C@@H](N(C)C)[C@@H](O)C5)[C@](O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](OC)C6)(CC)C1C7[C@@](O[C@@H]8O[C@@H](C)[C@H](O)[C@@H](OC)C8)(CC)[C@H](O[C@H]9O[C@@H](C)[C@H](N(C)C)[C@@H](O)C9)C(C(C(C(C%10=C(O)C=CC(O)=C%10%11)=O)C%12C%11=O)=[N+]=[N-])=C%12C7=O	23649992, 24848236, 25045187, 24383813, 22963534, 11457405, 			
BGC0000241	Lomaiviticin D	O=C1C2=C(C([H])=C3C2=C(O)C4=C(O)C=CC(O)=C4C3=O)[C@@H](O[C@H]5O[C@@H](C)[C@@H](N(C)C)[C@@H](O)C5)[C@](O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](OC)C6)(CC)C1C7[C@@](O[C@@H]8O[C@@H](C)[C@H](OC)[C@@H](OC)C8)(CC)[C@H](O[C@H]9O[C@@H](C)[C@H](N(C)C)[C@@H](O)C9)C(C(C(C(C%10=C(O)C=CC(O)=C%10%11)=O)C%12C%11=O)=[N+]=[N-])=C%12C7=O	23649992, 24848236, 25045187, 24383813, 22963534, 11457405, 			
BGC0000241	Lomaiviticin E	O=C1C2=C(C([H])=C3C2=C(O)C4=C(O)C=CC(O)=C4C3=O)[C@@H](O[C@H]5O[C@@H](C)[C@@H](N(C)C)[C@@H](O)C5)[C@](O[C@@H]6O[C@@H](C)[C@H](OC)[C@@H](OC)C6)(CC)C1C7[C@@](O[C@@H]8O[C@@H](C)[C@H](OC)[C@@H](OC)C8)(CC)[C@H](O[C@H]9O[C@@H](C)[C@H](N(C)C)[C@@H](O)C9)C(C(C(C(C%10=C(O)C=CC(O)=C%10%11)=O)=C%12C%11=O)=[N+]=[N-])=C%12C7=O	23649992, 24848236, 25045187, 24383813, 22963534, 11457405, 			
BGC0000242	lysolipin	CN1[C@@H]([C@@H](C2=C(C1=O)C(=C3C(=C2)[C@@H]([C@H]4C5=C(C6=C(C(=C53)O)C(=O)C7=C(O6)C(=C(C=C7)Cl)OC)OCO4)OC)O)O)OC	20399259			
BGC0000243	macrotetrolide 		10858335			
BGC0000244	macrotetrolide 		10858335			
BGC0000245	medermycin	C[C@@H]1[C@H]([C@@H](CC(O1)C2=CC3=C(C=C2)C(=O)C4=C(C3=O)[C@H](O[C@H]5[C@@H]4OC(=O)C5)C)N(C)C)O	12855716			
BGC0000246	mithramycin	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O	8654997,9150235,10102355,11254130			
BGC0000247	mithramycin	C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2C[C@@H](O[C@@H]([C@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@H]([C@@H](C5)[C@@H](C(=O)[C@H]([C@@H](C)O)O)OC)O[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7C[C@H]([C@H]([C@H](O7)C)O)O[C@H]8C[C@]([C@@H]([C@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O	8654997,9150235,10102355,11254130,8807845,8654997,8757400,9150235,9375253,9733697,9882681,9889148,9917296,10102355,10660060,10760873,10652287,10779713,11254130,11853433,12022840,12733914,12813091,14660589,15712316			
BGC0000248	naphtocyclinone		10206788			
BGC0000249	nogalamycin	C[C@H]1[C@@H]([C@@]([C@H]([C@@H](O1)O[C@H]2C[C@]([C@@H](C3=C2C(=C4C(=C3)C(=O)C5=C6C(=CC(=C5C4=O)O)[C@@]7([C@@H]([C@H]([C@@H]([C@H](O6)O7)O)N(C)C)O)C)O)C(=O)OC)(C)O)OC)(C)OC)OC				
BGC0000250	3',4'-demethoxynogalose-1-hydroxynogalamycinone	OC1=C([C@@H](O[C@H]2[C@H](OC)[C@@](O)(C)[C@@H](O)[C@H](C)O2)C[C@@](O)(C)[C@@H]3C(OC)=O)C3=CC4=C1C(C5=C(O)C=CC(O)=C5C4=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	3',4'-demethoxynogalose-nogalamycinone	OC1=C([C@@H](O[C@H]2[C@H](O)[C@@](O)(C)[C@@H](O)[C@H](C)O2)C[C@@](O)(C)[C@@H]3C(OC)=O)C3=CC4=C1C(C5=C(O)C=CC=C5C4=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalamycin	CC1C(C(C(C(O1)O[C@H]2C[C@]([C@@H](C3=C2C(=C4C(=C3)C(=O)C5=C6C(=CC(=C5C4=O)O)[C@@]7([C@@H]([C@H]([C@@H]([C@H](O6)O7)O)N(C)C)O)C)O)C(=O)OC)(C)O)OC)(C)OC)OC	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalamycin F	OC1=C([C@@H](O[C@H]2[C@H](OC)[C@@](O)(C)[C@@H](O)[C@H](C)O2)C[C@@](O)(C)[C@@H]3C(OC)=O)C3=CC4=C1C(C5=C(O)C=CC(O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)C6)=C5C4=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalamycin R	OC1=C([C@@H](O[C@H]2[C@H](OC)[C@@](O)(C)[C@@H](O)[C@H](C)O2)C[C@@](O)(C)[C@@H]3C(OC)=O)C3=CC4=C1C(C5=C(O)C=C6C(O[C@@H]7O[C@@]6(C)[C@@H](O)[C@@H](N(C)C)C7)=C5C4=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalaviketone	OC1=CC=CC2=C1C(C3=C(O)C(C(C[C@](C)(O)[C@@H]4C(OC)=O)=O)=C4C=C3C2=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalavinone	OC1=CC=CC2=C1C(C3=C(O)C([C@@H](O)C[C@](C)(O)[C@@H]4C(OC)=O)=C4C=C3C2=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalonic acid	CC(CC(C1=C(CC(O)=O)C=C(C2=O)C(C(C3=C2C=CC=C3O)=O)=C1O)=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000250	nogalonic acid methyl ester	CC(CC(C1=C(CC(OC)=O)C=C(C2=O)C(C(C3=C2C=CC=C3O)=O)=C1O)=O)=O	12715874,11683270,10639368,9349712,8668120,22633415,22120896			
BGC0000251	nogalamycin	C[C@H]1[C@@H]([C@@]([C@H]([C@@H](O1)O[C@H]2C[C@]([C@@H](C3=C2C(=C4C(=C3)C(=O)C5=C6C(=CC(=C5C4=O)O)[C@@]7([C@@H]([C@H]([C@@H]([C@H](O6)O7)O)N(C)C)O)C)O)C(=O)OC)(C)O)OC)(C)OC)OC				
BGC0000252	nonactin	C[C@@H]1C[C@H]2CC[C@H](O2)[C@@H](C(=O)O[C@H](C[C@@H]3CC[C@@H](O3)[C@H](C(=O)O[C@@H](C[C@H]4CC[C@H](O4)[C@@H](C(=O)O[C@H](C[C@@H]5CC[C@@H](O5)[C@H](C(=O)O1)C)C)C)C)C)C)C	10650222			
BGC0000253	oviedomycin	CC1=C(C2=CC(=C3C(=C2C(=O)C1=O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O	15368568,18988223			
BGC0000254	oxytetracycline	C[C@@]1([C@H]2[C@@H]([C@H]3[C@@H](C(=O)/C(=C(\N)/O)/C(=O)[C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)N(C)C)O)O	16597959			
BGC0000255	pederin	C[C@H]1[C@H](O[C@](CC1=C)([C@@H](C(=O)N[C@H]([C@@H]2C[C@H](C([C@H](O2)C[C@@H](COC)OC)(C)C)O)OC)O)OC)C	15520376			
BGC0000256	pradimicin	C[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](C3=C(C4=C(C(=C(C=C24)C)C(=O)N[C@H](C)C(=O)O)O)C(=C5C(=C3)C(=O)C6=C(C=C(C=C6C5=O)OC)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H](CO7)O)O)O)NC				
BGC0000257	prodigiosin	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	19329986			
BGC0000258	prodigiosin	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	15528645			
BGC0000259	prodigiosin	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C	15528645			
BGC0000260	prodigiosin	CCCCCC1=C(NC(=C1)/C=C\2/C(=C/C(=C/3\C=CC=N3)/N2)OC)C				
BGC0000261	R1128	C1=CC2=C(C=C1Cl)N=C(O2)N	10931852			
BGC0000262	gaudimycin A	OC1=C(C(C(CC[C@@](CC(C)=C2)(O)[C@]3(O)C2=O)=C3C4=O)=O)C4=CC=C1	12654660,15515887,17654627,18291320			
BGC0000262	gaudimycin C	O=C1C2=C([C@@H](O)C[C@](O)(CC(C)=C3)[C@]2(O)C3=O)C(C4=C(O)C=CC=C41)=O	12654660,15515887,17654627,18291320			
BGC0000262	gaudimycin D	O=C1C2=C(C=CC(C[C@](C)(O[C@@H]3O[C@H](C)[C@@H](N)CC3)CC(O)=O)=C2O)C(C4=C(O)C=CC=C41)=O	12654660,15515887,17654627,18291320			
BGC0000262	prejadomycin	OC1=CC=CC2=C1C(O)=C(C(C[C@@](CC(C)=C3)(O)[C@]4([H])C3=O)=O)C4=C2	12654660,15515887,17654627,18291320			
BGC0000262	rabelomycin	O=C(C1=C2C3=C(C[C@@](C)(O)CC3=O)C=C1O)C4=C(O)C=CC=C4C2=O	12654660,15515887,17654627,18291320			
BGC0000262	UWM6	OC1=C(C(O)=C(C(C[C@@](C[C@@](C)(O)C2)(O)[C@]3([H])C2=O)=O)C3=C4)C4=CC=C1	12654660,15515887,17654627,18291320			
BGC0000263	ravidomycin	C[C@@H]1[C@@H]([C@@H]([C@H](C(O1)C2=C3C(=C(C=C2)O)C(=CC4=C3OC(=O)C5=CC(=CC(=C54)OC)C=C)OC)O)N(C)C)OC(=O)C				
BGC0000264	resistoflavin	CC1=CC(=C2C3=C1C(=O)C=C4C3(C5=C(C2=O)C(=CC(=C5C(=O)C4(C)C)O)O)O)O	14982421, 17090047, 17914826, 19665022, 8150707, 812270, 12440735, 16580188			
BGC0000264	resistomycin	CC1=CC(=C2C3=C4C(=CC(=C13)O)C(C(=O)C5=C(C=C(C(=C45)C2=O)O)O)(C)C)O	14982421, 17090047, 17914826, 19665022, 8150707, 812270, 12440735, 16580188			
BGC0000265	rhodomycin	CC[C@]1(C[C@@H](C2=C(C3=C(C(=C2[C@H]1OC4CC(C(C(O4)C)O)N(C)C)O)C(=O)C5=C(C3=O)C(=CC=C5)O)O)OC6CC(C(C(O6)C)O)N(C)C)O	8081500,775			
BGC0000266	rubromycin	COC1=CC(=C(C2=C1C(=O)C3=C(C2=O)OC(=C3)CCC4=C(C(=C5C(=C4)C=C(OC5=O)C(=O)OC)O)O)O)OC				
BGC0000267	Saquayamycin Z	C[C@@H]1[C@H](O[C@H](C[C@H]1O[C@H]2CC[C@@H]([C@@H](O2)C)O)O[C@H]3CC[C@@H](O[C@H]3C)O[C@@H]4C[C@@H](O[C@@H]([C@H]4O)C)O[C@H]5CC[C@@H](O[C@H]5C)O[C@]6(CC(=O)[C@@]7(C8=C(C=C[C@@]7(C6)O)C(=O)c9c(ccc(c9O)[C@H]1C[C@H]([C@@H]([C@H](O1)C)O[C@H]1C[C@@H]([C@@H]([C@@H](O1)C)O[C@H]1CC[C@@H]([C@@H](O1)C)O[C@H]1C=CC(=O)[C@@H](O1)C)O)O)C8=O)O)C)C	19384899			
BGC0000268	Sch47554	CC1C(CCC(O1)C2=C(C3=C(C=C2)C(=O)C4=C(C3=O)C=CC5(C4(C(=O)CC(C5)(C)OC6C=CC(=O)C(O6)C)O)O)O)OC7C=CC(=O)C(O7)C	17085966			
BGC0000268	Sch47555		17085966			
BGC0000269	SF2575	C/C=C(\C)/C(=O)OC1C(OC(CC1O)C2=C(C3=C(C=C2)C(C4CC5C(C(=O)C(=C(C5(C(=O)C4=C3O)OC)O)C(=O)N)OC(=O)C6=CC=CC=C6O)(C)OC)O)C	19908837,1577660,21965680,24022606			
BGC0000270	simocyclinone	C[C@@H]1[C@@H]([C@@H](C[C@@H](O1)C2=C(C3=C(C=C2)C(=O)C45C(C3O)(O4)C(CC6(C5(C(=O)C=C(C6)C)O)O)O)O)OC(=O)/C=C/C=C/C=C/C=C/C(=O)NC7=C(C8=C(C(=C(C=C8)O)Cl)OC7=O)C)OC(=O)C	12115055			
BGC0000271	spore pigment		11572948			
BGC0000272	spore pigment					
BGC0000273	steffimycin	CC1C(C(C(C(O1)OC2C(C(C(=O)C3=C2C(=C4C(=C3)C(=O)C5=CC(=CC(=C5C4=O)O)OC)O)(C)O)OC)OC)O)O	16751529			
BGC0000274	Tetarimycin A	OC1=CC(O)=C(C(C(C(C(C(C)=CC(O)=C2)=C2C3=O)=O)=C3C4(C)C)=O)C4=C1	23157252			
BGC0000274	Tetarimycin B	OC1=CC(O)=C(C(C(C(O)=C(C(O)(C)CC(O)C2)C2=C3)=C3C4(C)C)=O)C4=C1	23157252			
BGC0000275	tetracenomycin C	O[C@H]1[C@@]2(O)[C@@](C(C(C(O)=C(C(C)=C(C(OC)=O)C(OC)=C4)C4=C3)=C3C2=O)=O)(O)C(C=C1OC)=O	1548230,1592819,7982994,8244926,11851469,9609708			
BGC0000276	Urdamycin A	C[C@@H]1O[C@H](CC[C@@H]1O)O[C@]12C(=O)C[C@](C)(O)C[C@@]1(O)C=CC1=C2C(=O)c2ccc([C@H]3C[C@@H](O[C@H]4CC[C@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](C)O4)[C@H](O)[C@@H](C)O3)c(O)c2C1=O	3818439, 2925521, 2753820, 7592377, 10658661, 10662691, 11094336, 11410375, 11927254,12022840, 12512084,12696864, 17434221,17640665, 3839784, 19265871			
BGC0000277	urdamycin	C[C@H]1[C@H](CC[C@@H](O1)O[C@]23C(=O)C[C@](C[C@]2(C(=CC4=C3C(=O)C5=C(C4=O)C(=C(C=C5)[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7CC[C@@H]([C@@H](O7)C)O[C@H]8C[C@H]([C@@H]([C@H](O8)C)O)O)O)SC)O)(C)O)O	10658661			
BGC0000278	urdamycin	C[C@H]1[C@H](CC[C@@H](O1)O[C@]23C(=O)C[C@](C[C@]2(C(=CC4=C3C(=O)C5=C(C4=O)C(=C(C=C5)[C@H]6C[C@H]([C@@H]([C@H](O6)C)O)O[C@H]7CC[C@@H]([C@@H](O7)C)O[C@H]8C[C@H]([C@@H]([C@H](O8)C)O)O)O)SC)O)(C)O)O	11094336			
BGC0000279	xantholipin	CC1=CC2=C(C(=O)[C@]3([C@@H](C2=O)C[C@@H]4C5=C(C6=C(C(=C53)O)C(=O)C7=C(O6)C(=C(C=C7)Cl)OC)OCO4)O)C(=O)N1	22444597			
BGC0000280	2,4-diacetylphloroglucinol	CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O	15256586,12003942,10708392,15256586,19181839,23624246			
BGC0000281	2,4-Diacetylphloroglucinol	CC(=O)C1=C(C(=C(C=C1O)O)C(=O)C)O				
BGC0000282	alkylresorcinol		18375553,18364359,18310036			
BGC0000283	cetoniacytone A	OC[C@]12C(C=C(NC(C)=O)[C@H](O)[C@H]1O2)=O	17195255,19101977			
BGC0000284	phenolic lipids		16597676			
BGC0000285	3,3'-diflaviolin	O=C1C=C(O)C(C2=CC(O)=C(C3=C(O)C=C(C(C(O)=CC4=O)=O)C4=C3O)C(O)=C21)=O	12028378			
BGC0000285	Flaviolin	C1=C(C=C2C(=C1O)C(=CC(=O)C2=O)O)O	12028378			
BGC0000285	Flaviolin rhamnoside	O=C1C=C(O)C(C2=CC(O[C@H]3O[C@H](C)[C@@H](O)[C@H](O)[C@@H]3O)=CC(O)=C21)=O	12028378			
BGC0000286	viguiepinol	C[C@@]12CC[C@@H](C([C@H]1CC[C@@H]3C2=CC[C@](C3)(C)C=C)(C)C)O	15712669			
BGC0000287	2-amino-4-methoxy-trans-3-butenoic acid	CO/C=C/[C@@H](C(=O)O)N	20543073			
BGC0000288	A-503083 A	O=C1[C@@H](NC(C2=C[C@H](O)[C@H](O)[C@@H](O[C@@H](C(N)=O)[C@]3([H])[C@@H](OC)[C@@H](OC(N)=O)[C@H](N(C=C4)C(NC4=O)=O)O3)O2)=O)CCC[C@@H](C)N1	20562876			
BGC0000288	A-503083 B	O=C1[C@@H](NC(C2=C[C@H](O)[C@H](O)[C@@H](O[C@@H](C(N)=O)[C@]3([H])[C@@H](OC)[C@@H](OC(N)=O)[C@H](N(C=C4)C(NC4=O)=O)O3)O2)=O)CCCCN1	20562876			
BGC0000288	A-503083 E	O=C(N([C@H]1[C@H](OC(N)=O)[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(OC)=O)=C[C@H](O)[C@@H]2O)O1)C=C3)NC3=O	20562876			
BGC0000288	A-503083 F	O=C(N([C@H]1[C@H](OC(N)=O)[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(O)=O)=C[C@H](O)[C@@H]2O)O1)C=C3)NC3=O	20562876			
BGC0000289	A40926	CC(C)CCCCCCCCC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1Oc2c3cc4cc2Oc5ccc(cc5Cl)[C@H]([C@H]6C(=O)N[C@@H](c7cc(cc(c7-c8cc(ccc8O)[C@H](C(=O)N6)NC(=O)[C@@H]4NC(=O)[C@@H]9c1cc(cc(c1Cl)O)Oc1ccc(cc1O)[C@H](C(=O)N[C@H](Cc1ccc(cc1)O3)C(=O)N9)NC)O[C@@H]1[C@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)C(=O)O)O)C(=O)O)O)O	12837387, 15664522, 16007453, 16499611, 17044690, 17935335, 20414653, 17873036			
BGC0000290	A47934	C1[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)O)OC4=C(C=CC(=C4)[C@H](C(=O)N2)N)OS(=O)(=O)O)C(=O)N[C@@H]5C6=CC(=C(C(=C6)OC7=C(C=C(C=C7)[C@H]([C@H]8C(=O)N[C@@H](C9=CC(=CC(=C9C2=CC(=CC(=C2O)Cl)[C@H](C(=O)N8)NC5=O)O)O)C(=O)O)O)Cl)O)OC2=C(C=C1C=C2)Cl	9177243,12060705,16492565			
BGC0000291	A54145	CCC(C)C1C(=O)OC(C(C(=O)N(CC(=N)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC(=O)NC(C(=O)NC(C(=O)N1)CCC(=O)O)CC(=O)N)C(CO)OC)CCCCN)CCO)C)C)NC(=O)C(C(C(=O)N)O)NC(=O)C(CCC(=O)O)NC(=O)C(Cc2c[nH]c3c2cccc3)NCCCCCCCC(C)C)C	16208464			
BGC0000292	acetylaranotin	CC(=O)OC1C=COC=C2C1N3C(=O)C45CC6=COC=CC(C6N4C(=O)C3(C2)SS5)OC(=O)C	23586797			
BGC0000293	acetylaszonalenin	CC(=O)N1[C@H]2[C@](C[C@H]3N2C(=O)C4=CC=CC=C4NC3=O)(C5=CC=CC=C51)C(C)(C)C=C	19001367			
BGC0000294	acinetobactin 	C[C@@H]1[C@@H](N/C(=C/2\C=CC=C(C2=O)O)/O1)C(=O)N(CCC3=CN=CN3)O	15289555			
BGC0000295	acinetoferrin	CCCCC/C=C/C(=O)N(O)CCCNC(=O)CC(O)(C(=O)O)CC(=O)NCCCN(O)C(=O)/C=C/CCCCC	23378574			
BGC0000296	actinomycin	CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C	10212227,10780924,20304989			
BGC0000297	Aeruginoside 126A	O=C([C@@H](CC(C)C)NC([C@@H](CC1=CC=CC=C1)O)=O)N2[C@H]3C[C@H](OC4OCC(O)C(O)C4O)CC[C@H]3C[C@H]2C(NCCC5=CCN(C(N)=N)C5)=O	17524987, 20863139, 19201978			
BGC0000297	Aeruginoside 126B	O=C([C@@H](CC(C)C)NC([C@@H](CC1=CC=CC=C1)O)=O)N2[C@H]3C[C@H](OC4OCC(O)C(O)C4O)CC[C@H]3C[C@H]2C(NCCCCNC(N)=N)=O	17524987, 20863139, 19201978			
BGC0000298	Aeruginosin 98-A	CCC(C)[C@H](C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCN=C(N)N)OS(=O)(=O)O)NC(=O)[C@@H](CC3=CC(=C(C=C3)O)Cl)O	20863139, 17524987, 18614525			
BGC0000298	Aeruginosin 98-B	CC[C@@H](C)[C@H](C(=O)N1[C@H]2C[C@@H](CC[C@H]2C[C@H]1C(=O)NCCCCN=C(N)N)OS(=O)(=O)O)NC(=O)[C@@H](CC3=CC=C(C=C3)O)O	20863139, 17524987, 18614525			
BGC0000298	Aeruginosin 98-C	CC[C@H](C)[C@H](C(=O)N1C2CC(CCC2CC1C(=O)NCCCCN=C(N)N)OS(=O)(=O)O)NC(=O)C(CC3=CC(=C(C=C3)O)Br)O	20863139, 17524987, 18614525			
BGC0000299	alterochromides		25140825			
BGC0000300	amychelin	CC([C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@H]1CC2=CC(=C(C=C2[N+](C1)(C)C)O)O)NC(=O)C[C@H](C[C@H]([C@@H](CO)NC(=O)C3=CC=CC=C3O)O)O)O	21699219			
BGC0000301	anabaenopeptin	C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3	21622740			
BGC0000302	anabaenopeptin	C[C@H]1C(=O)N[C@H](C(=O)NCCCC[C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N1C)CCC2=CC=C(C=C2)O)C)C(C)C)NC(=O)N[C@@H](CCCN=C(N)N)C(=O)O)CC3=CC=CC=C3	20338518			
BGC0000303	anthramycin	CC1=C(C2=C(C=C1)C(=O)N3C=C(CC3C(N2)O)/C=C/C(=O)N)O	17584616			
BGC0000304	apicidin	CCC(C)[C@H]1C(=O)N2CCCC[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC3=CN(C4=CC=CC=C43)OC)CCCCCC(=O)CC	20233305			
BGC0000305	Arthrofactin A	CCCCCCC[C@H](O)CC(N[C@@H](C(N[C@@H](C(N[C@H]([C@H](OC([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](CO)NC(C(CC(C)C)N1)=O)=O)[C@@H](C)CC)=O)[C@@H](C)CC)=O)CC(O)=O)=O)C)C(N[C@@H](C(N[C@H](CC(C)C)C(N[C@H](CO)C1=O)=O)=O)CC(C)C)=O)=O)CC(O)=O)=O)CC(C)C)=O	23169772, 20460722, 14522057			
BGC0000306	Arylomycin	CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@H]1C2=CC(=C(C=C2)O)C3=C(C=CC(=C3)C[C@H](NC(=O)[C@@H](NC1=O)C)C(=O)O)O	21999343			
BGC0000307	aureobasidin A1	CC[C@@H](C)[C@@H]1C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)O[C@H](C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)N2CCC[C@H]2C(=O)N1)CC3=CC=CC=C3)C)CC4=CC=CC=C4)C(C)C)C)[C@H](C)CC)C(C)(C)O)C)CC(C)C)C(C)C)C	19084058			
BGC0000308	aureusimine	CC(C)C1=NC=C(NC1=O)CC2=CC=C(C=C2)O	23302043	aureusimine A		
BGC0000309	bacillibactin	C[C@@H]1[C@@H](C(=O)O[C@@H]([C@@H](C(=O)O[C@@H]([C@@H](C(=O)O1)NC(=O)CNC(=O)C2=C(C(=CC=C2)O)O)C)NC(=O)CNC(=O)C3=C(C(=CC=C3)O)O)C)NC(=O)CNC(=O)C4=C(C(=CC=C4)O)O	9384377,19383706			
BGC0000310	bacitracin	CCC(C)C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCC(C(=O)NC(C(=O)N1)CCCN)NC(=O)C(C(C)CC)NC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C2CSC(=N2)C(C(C)CC)N)CC(=O)N)CC(=O)O)CC3=CN=CN3)CC4=CC=CC=C4	9427658			
BGC0000311	balhimycin	CC1C(=O)C(CC(O1)OC2C3C(=O)NC(C4=CC(=CC(=C4C5=C(C=CC(=C5)C(C(=O)N3)NC(=O)C6C7=CC(=C(C(=C7)OC8=C(C=C(C=C8)C(C(C(=O)NC(C(=O)N6)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)OC9C(C(C(C(O9)CO)O)O)O)OC1=C(C=C2C=C1)Cl)O)O)O)C(=O)O)(C)N	10390204,11495926,12404385,11880037,11932455			
BGC0000312	bassianolide	CC(C)CC1C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N(C(C(=O)OC(C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C	19285149			
BGC0000313	beauvericin	CC(C)[C@@H]1C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O1)CC2=CC=CC=C2)C)C(C)C)CC3=CC=CC=C3)C)C(C)C)CC4=CC=CC=C4)C	18804027			
BGC0000314	bromoalterochromide A	O=C([C@H](CC(N)=O)NC1=O)N[C@H](CC(N)=O)C(N[C@H]([C@@H](C)CC)C(O[C@H](C)[C@H](C(N[C@@H]1C(C)C)=O)NC(/C=C/C=C/C=C/C=C/C2=CC=C(O)C(Br)=C2)=O)=O)=O	23798442,25140825			
